[16:34:43.126] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2368119, egress-ts=2428591, deq-depth = 63, deq-bytes=94500
[16:34:43.127] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2368351, egress-ts=2430255, deq-depth = 63, deq-bytes=94500
[16:34:43.128] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2369064, egress-ts=2431157, deq-depth = 63, deq-bytes=94500
[16:34:43.129] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2369309, egress-ts=2432368, deq-depth = 63, deq-bytes=94500
[16:34:43.131] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2371052, egress-ts=2433494, deq-depth = 63, deq-bytes=94500
[16:34:43.131] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2371300, egress-ts=2434648, deq-depth = 63, deq-bytes=94500
[16:34:43.132] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2372520, egress-ts=2435417, deq-depth = 62, deq-bytes=93000
[16:34:43.133] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2372840, egress-ts=2436401, deq-depth = 62, deq-bytes=93000
[16:34:43.134] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2373114, egress-ts=2437412, deq-depth = 63, deq-bytes=94500
[16:34:43.136] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2373384, egress-ts=2438377, deq-depth = 63, deq-bytes=94500
[16:34:43.137] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2375326, egress-ts=2439421, deq-depth = 63, deq-bytes=94500
[16:34:43.138] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2375774, egress-ts=2440670, deq-depth = 63, deq-bytes=94500
[16:34:43.139] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2376112, egress-ts=2442342, deq-depth = 63, deq-bytes=94500
[16:34:43.140] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2376135, egress-ts=2443223, deq-depth = 63, deq-bytes=94500
[16:34:43.142] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2377054, egress-ts=2444441, deq-depth = 63, deq-bytes=94500
[16:34:43.144] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2377319, egress-ts=2446583, deq-depth = 63, deq-bytes=94500
[16:34:43.145] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2378665, egress-ts=2447949, deq-depth = 63, deq-bytes=94500
[16:34:43.145] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2378683, egress-ts=2448756, deq-depth = 63, deq-bytes=94500
[16:34:43.147] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2379770, egress-ts=2449559, deq-depth = 62, deq-bytes=93000
[16:34:43.149] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2379788, egress-ts=2451422, deq-depth = 63, deq-bytes=94500
[16:34:43.151] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2381730, egress-ts=2453782, deq-depth = 63, deq-bytes=94500
[16:34:43.152] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2381746, egress-ts=2454739, deq-depth = 63, deq-bytes=94500
[16:34:43.154] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2382839, egress-ts=2457003, deq-depth = 63, deq-bytes=94500
[16:34:43.156] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2383253, egress-ts=2458259, deq-depth = 63, deq-bytes=94500
[16:34:43.157] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2384246, egress-ts=2459932, deq-depth = 63, deq-bytes=94500
[16:34:43.158] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2384500, egress-ts=2461088, deq-depth = 62, deq-bytes=93000
[16:34:43.159] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2385847, egress-ts=2462080, deq-depth = 62, deq-bytes=93000
[16:34:43.161] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2385867, egress-ts=2463434, deq-depth = 62, deq-bytes=93000
[16:34:43.162] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2388086, egress-ts=2464856, deq-depth = 63, deq-bytes=94500
[16:34:43.163] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2388105, egress-ts=2465982, deq-depth = 63, deq-bytes=94500
[16:34:43.166] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2389799, egress-ts=2467952, deq-depth = 63, deq-bytes=94500
[16:34:43.167] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2389815, egress-ts=2469880, deq-depth = 63, deq-bytes=94500
[16:34:43.170] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2390713, egress-ts=2471104, deq-depth = 62, deq-bytes=93000
[16:34:43.173] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2390733, egress-ts=2474084, deq-depth = 63, deq-bytes=94500
[16:34:43.174] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2391937, egress-ts=2476932, deq-depth = 63, deq-bytes=94500
[16:34:43.175] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2391953, egress-ts=2478225, deq-depth = 63, deq-bytes=94500
[16:34:43.177] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2394009, egress-ts=2479672, deq-depth = 64, deq-bytes=96000
